buildingid,address,borough,latitude,longitude,health_score,label,open_violation_count,class_a_count,class_b_count,class_c_count,weighted_severity,avg_resolution_days,violations_last_6mo,repeat_violation_types,component_open_count,component_severity,component_resolution_speed,component_recency,component_repeat_rate
322267,556 LAFAYETTE AVENUE,Brooklyn,40.6894933,-73.9526692,73.8,Poorly managed,8,1,5,2,17,1002.0,0.0,0.0,97.14285714285714,96.76190476190476,14.784335981838826,50.0,100.0
744416,137 HEBERTON AVENUE,Staten Island,40.636682,-74.1310459,73.9,Poorly managed,14,3,4,7,32,908.2,0.0,0.0,94.6938775510204,93.9047619047619,22.766405663825783,50.0,100.0
56476,450 CITY ISLAND AVENUE,Bronx,40.8509954,-73.7880446,73.9,Poorly managed,3,0,1,2,8,1056.0,0.0,0.0,99.18367346938776,98.47619047619047,10.187287173666293,50.0,100.0
12507,235 EAST 21 STREET,Manhattan,40.7370822,-73.9823943,73.9,Poorly managed,3,0,3,0,6,1061.0,0.0,0.0,99.18367346938776,98.85714285714286,9.761634506242912,50.0,100.0
21474,262 ELIZABETH STREET,Manhattan,40.7239003,-73.9934195,73.9,Poorly managed,47,21,25,1,74,102.2,0.0,10.0,81.22448979591836,85.90476190476191,91.38217061032044,50.0,23.076923076923073
171084,586 74 STREET,Brooklyn,40.6291546,-74.0201279,73.9,Poorly managed,13,2,10,1,25,939.5,0.0,0.0,95.10204081632652,95.23809523809523,20.104994324631107,50.0,100.0
979293,1074 BEACH 22 STREET,Queens,40.6041085,-73.7544325,73.9,Poorly managed,6,5,1,0,7,1037.5,0.0,0.0,97.95918367346938,98.66666666666667,11.762202043132808,50.0,100.0
955594,825 MADISON STREET,Brooklyn,40.6880968,-73.9232215,74.0,Poorly managed,14,8,2,4,24,928.0,0.0,0.0,94.6938775510204,95.42857142857143,21.083995459704884,50.0,100.0
357703,1114 PUTNAM AVENUE,Brooklyn,40.6884227,-73.918072,74.2,Poorly managed,22,1,15,6,49,790.0,0.0,0.0,91.42857142857143,90.66666666666666,32.83200908059024,50.0,100.0
336121,2801 MERMAID AVENUE,Brooklyn,40.5757974,-73.9945032,74.2,Poorly managed,8,6,1,1,11,993.0,0.0,0.0,97.14285714285714,97.90476190476191,15.55051078320091,50.0,100.0
119055,1517 WALTON AVENUE,Bronx,40.8421832,-73.914395,74.2,Poorly managed,1,0,0,1,3,1067.0,0.0,0.0,100.0,99.42857142857143,9.250851305334852,50.0,100.0
104370,1912 PROSPECT AVENUE,Bronx,40.8433916,-73.8894372,74.3,Poorly managed,14,2,3,9,35,878.8,0.0,0.0,94.6938775510204,93.33333333333333,25.276221411838574,50.0,100.0
287574,1314 EASTERN PARKWAY,Brooklyn,40.6679869,-73.9247298,74.3,Poorly managed,1,0,0,1,3,1061.8,0.0,0.0,100.0,99.42857142857143,9.69353007945517,50.0,100.0
42983,604 WEST 162 STREET,Manhattan,40.8372743,-73.9434064,74.3,Poorly managed,1,0,0,1,3,1061.0,0.0,0.0,100.0,99.42857142857143,9.761634506242912,50.0,100.0
357479,236 PULASKI STREET,Brooklyn,40.6929716,-73.9419927,74.3,Poorly managed,45,9,24,12,93,267.5,0.0,5.0,82.04081632653062,82.28571428571428,77.31271282633372,50.0,61.53846153846154
38341,230 WEST 116 STREET,Manhattan,40.8035575,-73.9540907,74.4,Poorly managed,1,0,0,1,3,1057.0,0.0,0.0,100.0,99.42857142857143,10.102156640181615,50.0,100.0
64496,304 EAST 162 STREET,Bronx,40.8258676,-73.916714,74.4,Poorly managed,2,0,0,2,6,1039.0,0.0,0.0,99.59183673469387,98.85714285714286,11.634506242905795,50.0,100.0
